,MOFA_miRNA_Factor1,MOFA_miRNA_Factor2,MOFA_miRNA_Factor3,MOFA_miRNA_Factor4,MOFA_miRNA_Factor5
TCGA.BH.A0DV,-0.6701482718371734,2.209853676524234,1.13225700461204,0.5757797890185865,-0.3351617252514575
TCGA.BH.A0E2,-1.1591173720440098,-0.6751642821091701,-0.7949517858697254,-1.32552418857162,-0.11160038392888556
TCGA.BH.A0H3,-0.4292465564111256,2.1686331111435138,1.1639708421183208,1.3162800740283964,0.03497824449958156
TCGA.BH.A0HA,0.4931926377842987,0.4673870864628528,1.4088540687507742,0.6771725935717424,-0.3731641372590345
TCGA.BH.A0HN,-0.17605118577178613,-1.012504448374399,0.6678382939735789,0.6764552499764793,-0.2551412537995679
TCGA.BH.A1EN,0.7780183844273695,-0.37405207743810087,1.078823442753522,0.6309330753908101,-0.4522773656093837
TCGA.BH.A1EO,-1.3724296187078788,0.5753232386040257,0.40215612631659875,-0.16739923582337862,0.7639401345693589
TCGA.BH.A1ES,0.8929519238895813,0.20649326631290627,1.2807624787094016,0.7758913836675808,0.3634832564849871
TCGA.BH.A1ET,-0.5754029705730146,0.3901149592907803,1.2639953482125066,0.24525305176058687,-0.1443266411020205
TCGA.BH.A1EU,0.08732952808718679,1.8699643312889924,1.0196720511652697,1.1605756118392259,0.8066137301101464
TCGA.BH.A1EV,1.5542044345137367,1.1033461000729865,1.6577604576946774,0.541077948470815,-0.42642349401946866
TCGA.BH.A1EW,-0.04021846485060584,0.6050209015829684,-0.09399821900243069,0.19814884515960415,-0.5173066265299935
TCGA.BH.A1EX,0.5938190452644653,0.9204294418539526,1.0816349247060404,0.9524358790546561,-0.24543827858069855
TCGA.BH.A1EY,-0.036313432094293004,1.0269047870976917,0.6986554230968011,-1.1512790530034085,-0.5711217236165449
TCGA.BH.A1F0,1.901603105533173,2.021091617725653,0.023916638111780797,1.8589082247024598,-0.19601712543551011
TCGA.BH.A1F2,0.7317566991228641,1.79842036110328,0.6476689001032253,-0.5853527782011336,-0.3117256512206133
TCGA.BH.A1F5,0.12220206163939826,-0.8730301022616125,0.8846726838898419,-0.38673355613085697,0.31878928840449017
TCGA.BH.A1F6,1.5497889038384816,0.04167740782358281,-1.1115498440505724,-0.6269253861245794,0.35180078139575877
TCGA.BH.A1F8,0.6266674812287805,0.7681317652240122,0.8165536554480003,-1.441928043993856,-0.34569235608261856
TCGA.BH.A1FB,-1.0241374931692866,0.7146006813920859,-0.18726740877729295,-0.753213906979031,0.013870546862322372
TCGA.BH.A1FC,3.2381188382452404,-1.1594896303502278,-0.1726547037350727,1.3837141125911876,-1.0865502993277727
TCGA.BH.A1FE,0.388711587583203,1.899214796323569,0.1176562490186799,0.6314407378907242,-0.13214027122784572
TCGA.BH.A1FG,-1.074362378802824,-0.8768967342564652,0.1642167273832365,-0.45709097984499,-0.13427594224400008
TCGA.BH.A1FH,-2.0161470658460394,1.7179480644476353,0.2351290157955567,-1.1426658225415758,-0.2436451013639669
TCGA.BH.A1FJ,0.20396175729557425,-1.4292083062100633,1.0141282140177332,-0.6626021313988119,-0.4990723430346723
TCGA.BH.A1FL,-0.2576554429092605,-0.5120768864094473,1.236972777264797,1.1371104565763757,-0.3113604181418387
TCGA.BH.A1FM,0.9083694792497763,0.3886421274132044,0.9318747457809752,-1.0447384490871052,-0.6381012788130911
TCGA.BH.A1FN,1.2386573235253648,-0.11380739009908523,-0.16536749119374966,-0.42187516011443815,-0.7069043557343766
TCGA.BH.A1FR,0.5281834482298527,-0.7840300979873309,1.0409827380867578,0.22500535816537484,-0.44379199988871754
TCGA.BH.A201,0.2729577966165919,2.7410157397958583,0.8591645905010997,0.3761206585212219,-0.2939206813837781
TCGA.BH.A202,1.418909843771876,1.3511790893619986,0.9817818737195129,-0.2335023840430038,-0.5733403370173504
TCGA.BH.A203,-0.722332135977275,-0.6510466060222274,-1.864866407656152,-1.6763903129483393,-0.4585105052977319
TCGA.BH.A204,0.9466230603037266,-0.7270090351475051,1.0630939711575285,0.32975814649688706,-0.4305102444691482
TCGA.BH.A209,2.050970175115388,-0.5801199902450587,-0.06663751635356834,0.018546629368834878,-0.01908463858112432
TCGA.BH.A28Q,-2.101975925203864,-0.7316001195513925,-0.14184128846793845,0.11329170398150966,-0.18800011449553747
TCGA.BH.A42T,-0.5370216712280312,-0.8451569957453946,-0.41969051756830417,0.4716369102900228,-0.4799828511398878
TCGA.BH.A42V,-1.2385993661978718,0.4725949272229433,-0.7407923088673651,1.945472892410837,0.4593439190624594
TCGA.C8.A1HE,0.3682594151488768,-0.09637956001885559,1.6633150905375222,1.3865416733049594,-0.20477921651183803
TCGA.C8.A1HF,2.1134125760478515,0.9306522053240217,0.4606621145916878,0.7020100634635146,-0.7853978713027069
TCGA.C8.A1HG,2.3167933824443856,0.5166686334651887,0.7171687300335314,1.4443120820976478,-0.326129855568285
TCGA.C8.A1HI,-0.39743843396831025,-0.2108356821965584,1.6456258861736048,0.3853073138952139,-0.25562038917832575
TCGA.C8.A1HJ,4.768242779004953,0.6761562927843012,-1.1894993911181229,1.5269607818850741,2.77404955217904
TCGA.C8.A1HK,1.5775352473140738,1.5249354578948628,0.3337552296058459,-2.3104865430254753,-0.8988499238650794
TCGA.C8.A1HL,0.6798046727567632,-0.6135344569854135,1.6061674825703292,0.7741605793223568,-0.49348634779342176
TCGA.C8.A1HM,2.39299256582243,-1.5035858665882944,0.7055460872812847,0.9655644646346268,-0.24445312427442664
TCGA.C8.A1HN,1.5993425773448056,-0.21484072842672827,1.2113500294716568,0.7541309745092398,-0.5317978880575542
TCGA.C8.A1HO,1.9193906706536563,-0.24426482669422053,1.6487266725369576,1.931083629763782,-0.5857932414657998
TCGA.C8.A26V,-0.2257711286902198,-1.0384488531584246,-0.2034433480757671,0.15243316539133356,-0.4543253232140538
TCGA.C8.A26W,-0.502410440907933,0.1247629149286369,-0.7198708972911043,0.5192358204355929,-0.5304977476524979
TCGA.C8.A26X,-0.9920881082518365,-0.5372378479898956,-0.31064073443961143,-0.1487877298031283,-0.4533114023552648
TCGA.C8.A26Y,0.3097348324606351,0.30727004336938984,-0.9233913058246443,0.629304196983389,-0.06202956652189052
