,MOFA_methylation_Factor1,MOFA_methylation_Factor2,MOFA_methylation_Factor3,MOFA_methylation_Factor4,MOFA_methylation_Factor5
TCGA.AC.A5XS,0.4759830835555378,0.02844845329657883,-0.8860716537827427,-1.3926094190554978,0.9538508302262182
TCGA.AC.A62Y,-0.1719791048678816,-1.7040455439532598,1.0874693910770334,1.5072960145860945,0.9382758856222067
TCGA.AO.A1KP,-3.4926440298261068,-0.4183149651259115,-1.4061818861262088,-0.45664232067296867,-1.2270990878632493
TCGA.AO.A1KQ,-0.5351252364132186,-1.9423601099560825,-1.8082781537454367,-1.2587454609363338,-0.41216159525099133
TCGA.AO.A1KR,2.588294346738042,1.7156225909635527,-1.1004654282882798,1.386856316615766,-0.09981464937604013
TCGA.AO.A1KS,-1.3638516437329153,0.6685647059966605,1.3939359945272556,0.6319630015722143,-1.2703581657375522
TCGA.AO.A1KT,-1.1743120534257223,-0.9394567342042806,-3.263813279439883,0.6249136478638547,-0.2666026026017735
TCGA.AQ.A0Y5,-0.8503411713185174,-0.1816855160177232,-0.7048658379944821,1.2886416694586769,-0.40969859974050604
TCGA.AQ.A1H2,-2.5776068543787356,-2.542845184550321,-2.7873530128932145,1.5183918867115835,0.0016515009945742292
TCGA.AQ.A1H3,-0.8889956637967436,1.1942037662043181,0.9336210094991603,0.45391568644282465,1.529224338057105
TCGA.AQ.A54N,3.7773193964030543,0.5325577974617605,-1.06349717545992,4.407974060247856,-1.7400361447537962
TCGA.AQ.A54O,-0.8431272429560054,-1.9533152880025395,1.3407577062281517,0.40738989287343735,-0.725817724195513
TCGA.AR.A1AI,3.6801840729185735,-0.8084168389184586,-1.8625060479182116,0.03912316236631916,0.23188095302834041
TCGA.AR.A1AJ,3.617082243114198,0.7115201179446643,0.6090935713353494,-1.0876734219210902,0.4399883291724962
TCGA.AR.A1AM,0.8676502836964393,-1.784392797952721,0.6650601065926016,0.026214876597578745,0.32737765491909243
TCGA.AR.A1AN,0.47036502063396285,-1.8685813867844436,1.1293831893532535,0.6650369096887271,0.3909873998966973
TCGA.AR.A1AP,-1.750704782855147,1.7549603564855207,0.6320614609535683,2.42271266979938,0.3446785515129644
TCGA.AR.A1AQ,3.1749863905272058,1.988226034674604,0.3808107937473443,0.48506497544481136,0.21565836969624713
TCGA.AR.A1AR,3.1788691721358804,0.9013558020257925,0.2834670300907355,1.2862379340947219,-0.08187148405904475
TCGA.AR.A1AS,-1.9588852737700049,-1.4380981970331095,-1.5318843817625036,0.7988294161593429,2.0112711891985375
TCGA.AR.A1AU,-0.053324553446759716,-0.5478967761094133,1.8090580365696884,0.39364676340805327,-1.4810804356104634
TCGA.AR.A1AV,-3.848016331974068,1.0013512971078165,-0.24567559586006302,1.732827150016918,-0.35334753956593434
TCGA.AR.A1AW,1.2740247821184143,2.706226004361525,0.4153133964457567,-1.6945152738156957,1.4745864094842354
TCGA.AR.A1AX,2.191893312505334,0.09857763426832176,1.304071181602225,-1.3348359329465285,0.7830110885232595
TCGA.AR.A1AY,3.777621837660145,1.6772118276153618,0.3459912050477219,3.673901103374968,-1.505410402841024
TCGA.AR.A24K,-2.623701150891549,0.07118267862162887,1.639285900204126,3.006350578303173,0.04062852499226184
TCGA.AR.A24L,0.02065216691858387,-1.293478347586423,0.3613854292879529,-2.3728271206080955,-1.1452624523111508
TCGA.AR.A24M,-1.6176770767101345,-1.089319982687476,0.5307552403668496,0.06491093744446451,0.9376171554406072
TCGA.AR.A24N,-2.2767577219801343,2.6587986211231467,-0.3044380704402829,1.5608257277491018,1.7786121186962522
TCGA.AR.A24O,0.6507483830669718,-0.8425464115891994,0.9841124073921835,-0.7987034002776683,0.7050439942243447
TCGA.AR.A24P,-0.852744377206472,0.7456906708244511,1.8901275963502011,1.2076206266003726,0.5979857089527658
TCGA.AR.A24Q,3.7815730574266535,0.06900486134990541,-0.38854515249677474,0.8104650744148484,-1.3444460249376449
TCGA.AR.A24R,-1.9801101737369777,1.4849287825431454,-0.7203930435775606,-0.7757074816332383,-0.4458507423565703
TCGA.AR.A24S,0.6882313591484724,-2.6293567775356146,-1.820534684685082,0.11778980218356146,0.3445492499935369
TCGA.B6.A1KC,-2.0524799096606907,2.2723561329036346,-0.6645417372535227,-2.1075115417010966,-3.22367291040859
TCGA.B6.A1KF,2.85553432933896,1.9754262485478018,-1.688920893141426,2.261184271816244,-1.320826633551112
TCGA.B6.A1KI,-0.15767620337996094,-1.834524378843507,0.5998427858427244,-0.3127487580713872,1.0526375862598152
TCGA.B6.A1KN,-1.8373369012796161,0.8535676448645778,-1.9733599299954614,0.19933399595583184,-0.3144032011414157
TCGA.B6.A2IU,-1.2984443422837937,-1.1477227051845567,-1.4253016985157259,-1.025385318871731,1.068890224083697
TCGA.BH.A0AU,-0.5081231946624409,-0.6203023824792173,1.46826134042362,-1.0453178313456275,-1.1391175918268452
TCGA.BH.A0AZ,-0.03497542191909076,-0.9379347061121323,0.3562978367137012,-0.416597053745244,-0.1354724270650983
TCGA.BH.A0B5,-2.017554577564806,0.22527648039309286,-0.999844105206547,-0.7233485566137904,1.0875035550448005
