,miRNA_PC1,miRNA_PC2,miRNA_PC3,miRNA_PC4,miRNA_PC5
TCGA.A2.A3XX,11.215748687435372,-1.5049845581933574,-13.318411469880802,-3.060598143345132,-2.508268934926459
TCGA.A2.A3XY,5.2773938417811515,3.8377828788051533,-13.086484434140553,-0.4478254720305628,0.7443517624337074
TCGA.A2.A3XZ,-5.688289017873576,-0.44372956569335964,-4.339203871009051,-1.4977807111901158,-0.9398822242535767
TCGA.A2.A3Y0,14.474727851164742,-5.309655042104787,-14.228815223355337,-6.1896543355849065,4.98035910860468
TCGA.A2.A4RW,-12.102528748527927,-3.342756933438853,-3.4925478007468906,-3.4117441264665938,0.32858307731425807
TCGA.A2.A4RX,-1.7663826910285423,0.08649427414650393,-6.2904573187090635,-1.7205771368643485,-0.7989203916857465
TCGA.A2.A4S0,-8.104321376829377,-15.845638027562968,4.452196292344662,1.7363895564568663,4.245781747738819
TCGA.A2.A4S2,-6.290715168024582,-0.6424285313748926,1.3155178865691477,0.7561038671100313,4.16579301030992
TCGA.A2.A4S3,-0.744788219822952,-1.8219821315043894,-4.222952615929283,-1.268080121290528,-2.0422119645571897
TCGA.A7.A13D,9.999884463395682,-3.143448933602821,-10.049105088669016,-6.774744071942217,3.6727516354281975
TCGA.A7.A13E,2.77199030466494,-2.953854267162862,-5.655715981772999,-0.4213040523190686,0.08754066497887168
TCGA.A7.A13F,3.5402183851409537,-2.9522114209712096,1.0666797723265544,2.7368019953995764,0.02639443599860753
TCGA.A7.A13G,0.9026619875972071,2.764825410523841,10.796235088607888,3.0258214575256615,4.095401511374557
TCGA.A7.A13H,-8.205025377517913,3.9862440316760694,-3.249920245976543,2.2616014176960992,2.6847536333782376
TCGA.A7.A26E,-10.967169850568386,2.9590744669281843,0.3488049030580854,-2.8270735173882,-1.0810479725979678
TCGA.A7.A26F,5.8241372654971535,-2.6304475045359794,-0.2439754332711665,-3.628916288811175,-4.102313609059386
TCGA.A7.A26G,8.192434933812406,6.373196496609715,-11.105244151653505,-18.939519457440486,16.15137653139276
TCGA.A7.A26H,-14.561824566962118,-3.802434876730743,-2.9968133787689157,-5.179976310581762,-5.598224022795448
TCGA.A7.A26I,13.215831814363577,2.4718465630154163,1.9270095115649948,-4.105658498241656,-7.108973383425104
TCGA.A7.A26J,-6.560390673747945,-0.3205895494341609,-0.19219405186680913,-1.353490485751071,-1.8920085757979606
TCGA.A7.A2KD,0.2614125285806931,2.388349392250545,-3.9625541194294436,2.0359134946619375,-3.695726632473819
TCGA.A7.A3IY,6.887418721348804,5.369541616394699,0.10741888135156713,3.887217029011265,1.5301428831010648
TCGA.A7.A3IZ,-11.72316613096247,-7.887825294740952,-3.1614677415235475,4.57341103591299,0.7441768219062256
TCGA.A7.A3J0,-10.462217675489308,-15.130983640980983,3.3995894478451905,3.909378018444049,1.2928399861031663
TCGA.A7.A3J1,-11.795240724428147,-0.11378953959583933,-3.709522658351636,3.2207589757160675,2.716046368275859
TCGA.A7.A3RF,-3.235340993352912,-9.384591014702403,2.249661497789635,2.6179574881378667,-0.5524045949304156
TCGA.A7.A425,-8.573192046855132,0.6185514538784613,-2.5946618555907457,0.8106788231901115,3.8922178399853347
TCGA.A7.A426,-17.16307649058453,0.247759471420555,-3.1566808591525617,0.14528945775110488,4.450032721095208
TCGA.A7.A4SA,-8.250813140441002,-4.732108961307065,-2.0589697291380844,0.6755523538193902,3.038748174057353
