,methylation_PC1,methylation_PC2,methylation_PC3,methylation_PC4,methylation_PC5
TCGA.BH.A0E2,-16.919547232025582,11.942576218236434,9.963253183262196,2.8056589707457653,-17.52906421683216
TCGA.BH.A0H3,2.1897503624603543,5.222165455719157,16.575641451501433,6.132165530834055,1.474022355496279
TCGA.BH.A0HA,-16.802656992021426,6.862913216577529,17.286281764214078,-7.388833678506808,-8.19441675236098
TCGA.BH.A0HN,-29.79283406750386,-14.162743737262042,1.4001328921093374,3.0083580355377464,9.925303146179878
TCGA.BH.A1EN,-19.822782384801215,21.413476442159826,-24.403450380161193,6.0244746991660305,5.0313368297355
TCGA.BH.A1EO,-13.22659261821565,11.657321371550212,-6.136759973233373,-3.532871959182424,3.156254863008537
TCGA.BH.A1ES,-17.28076627664019,11.194513127311552,16.815291926773128,-3.0161444027328397,-23.506788678317616
TCGA.BH.A1ET,-17.407034295368415,-15.112068309735418,3.907298331209628,-3.867835223733804,1.9965972854522318
TCGA.BH.A1EU,10.496766241131757,-1.5431769273376925,10.443162796586101,-4.658505548440612,5.45798131005076
TCGA.BH.A1EV,-9.80666542351478,2.086387842713764,7.726277580494925,13.624921977357983,4.948765626107841
TCGA.BH.A1EW,-2.362769711166566,11.696364844594902,6.064068639351409,0.861126429950945,2.0168130516094873
TCGA.BH.A1EX,-4.4017045387994465,-14.12901982859309,-10.531684332022627,1.5593383553816016,10.768788641482946
TCGA.BH.A1EY,0.3711627772997455,4.631505079961559,0.07262969580283411,2.0387470041520794,6.586582318201839
TCGA.BH.A1F0,37.578724168994036,1.4704252309832038,-1.2158399262208042,-13.515984916501184,4.076097039396395
TCGA.BH.A1F2,-14.90582092569765,-7.250257182200769,-17.873312529239044,-1.4089661718840276,3.7815848719294274
TCGA.BH.A1F5,-21.327567850079497,-16.980961041501565,6.746080801311646,-1.0285235999677222,-3.9677350958050908
TCGA.BH.A1F6,32.9304216155864,21.296313660873256,-4.151765189626465,5.913493723312872,-2.9557805942828996
TCGA.BH.A1F8,-19.11750384633004,-7.829604262432094,-15.051288428711509,4.390078724181453,-7.145186853820539
TCGA.BH.A1FB,23.06350281149595,0.9644990333883999,11.20781738486109,-6.0087907528482045,2.9238694866044637
TCGA.BH.A1FC,31.53189506862337,25.79345864552417,-6.666730508033648,9.937829853350824,1.0493780451434496
TCGA.BH.A1FE,9.321723898853369,6.215950067666339,-0.4267750977380542,-6.302993841005987,5.321808927881322
TCGA.BH.A1FG,-14.926320378493696,-8.134937089362422,19.88657885570092,5.939462718662934,-4.184861799086809
TCGA.BH.A1FH,20.41436723125756,-2.6108200537388186,13.33925634361008,-0.4594818892270431,-3.265589401710257
TCGA.BH.A1FJ,-36.590218873441955,0.3475956786686364,-3.7148247618824826,-0.5938537538783878,10.181423621106509
TCGA.BH.A1FL,-29.241874992245183,-6.394827676875653,5.15313721790919,12.331512713192119,9.700406867377268
TCGA.BH.A1FM,-21.372718931919273,-19.569981294013495,-12.073315120878947,1.8987157905733565,-5.0337941807598705
TCGA.BH.A1FN,4.204345739750324,-23.571182965027297,8.73929834175269,13.189313738891343,-9.329826962929504
TCGA.BH.A1FR,5.4616696060694965,-8.663269008930286,12.682981643245407,-11.861012703994374,-5.721326670118786
TCGA.BH.A201,2.6219546645238547,-8.93898384350597,10.904092081314698,8.810189616933672,-0.1680321323003377
TCGA.BH.A202,7.10471970839526,12.714091613878967,2.343269095206839,12.05278584380148,4.708421755361992
TCGA.BH.A203,5.671519213396783,19.883082834899884,0.49627861590915784,7.464243491164681,1.1005377814303234
TCGA.BH.A204,-41.823397810461714,1.8183774766884198,-21.019052542387954,-15.71578744807057,-14.65097271185036
TCGA.BH.A209,18.899189365363085,23.64913580020428,5.27778116834046,-7.847306317619984,2.2474448052422065
TCGA.BH.A28Q,-18.119835241595062,8.647904084404058,10.968364319355269,7.166926693354354,8.641434366482672
TCGA.BH.A42T,-22.038472160514768,17.552519113142047,3.796133874859406,9.331428785945489,0.5535600114024286
TCGA.BH.A42V,1.6214757240244735,9.29901428931715,5.005181782040637,-2.988603219193861,-0.6564202301150046
TCGA.C8.A1HE,-23.79642496835412,7.719867522708868,21.72468988737817,13.566326054741804,6.806454446417634
TCGA.C8.A1HF,2.841358889402563,3.841810639221735,3.8448288682934586,7.8513713335121755,1.6768006046504362
TCGA.C8.A1HG,4.811250835888393,-13.629638484594189,-6.651808860125273,-12.038553434731957,-11.776940297162435
TCGA.C8.A1HI,1.4948078712350605,-0.9817653895072437,10.91845426928486,0.6395872856953431,-9.19298629591707
TCGA.C8.A1HJ,40.26373034712374,-9.732038286056916,-12.468072355654218,8.152743030113013,-13.233932888026919
TCGA.C8.A1HK,-9.580447286978762,-18.596272857705706,-13.948792086265902,3.570991078575464,-5.3285056134580175
TCGA.C8.A1HL,-24.186883782001914,-19.428578647799334,-14.786484245707125,-7.563965664223004,-9.116080078744336
TCGA.C8.A1HM,-9.07873884197528,-9.997596720013322,-19.399817143859774,-7.578461874839084,1.8987381185482792
TCGA.C8.A1HN,-17.485933929500906,-7.258761398340509,-2.2196024499379816,3.7399197554894426,-16.01513297746289
TCGA.C8.A1HO,-34.097832127091785,21.50686768257611,1.9538308194322045,0.23106952740072126,-20.248809517425972
TCGA.C8.A26V,-19.112428894464916,9.802069654331351,-3.1991941694961055,9.070696516121792,9.877981275217532
TCGA.C8.A26W,2.6293656621631984,-22.670609680078545,-3.4470426413086814,-6.899689326720246,1.251905672587323
TCGA.C8.A26X,11.375983881454726,13.051965300678159,-13.58123028184566,-3.5199807994175143,10.837549739186676
TCGA.C8.A26Y,16.716229473290916,1.6650886152040336,-5.4931748194382495,-11.779234823733429,1.4597192849620493
TCGA.C8.A26Z,-22.827133246553352,-15.597107876853078,-8.190990386040315,-16.23423379188669,-16.042016055492095
TCGA.C8.A273,-16.7822296269458,7.427055384298953,-1.713901799673665,-7.915520798608055,-10.531116144229516
TCGA.C8.A274,-27.812716851407274,14.581543713116773,2.4459704251952648,17.020654033125844,6.659134463866887
TCGA.C8.A275,5.7723089383325314,18.72501629126931,-3.754835817816537,0.7331788944611526,4.2950241323032925
TCGA.C8.A278,10.387461895109626,14.570071867486693,-6.212195308935658,-7.143291111670491,7.52325812723869
TCGA.C8.A27A,-21.745794544267383,-0.13411705091182943,-11.22381114616101,-11.06535021862721,-28.827215338460803
TCGA.C8.A27B,41.96361808566532,-2.274620373409486,-10.530330989296557,7.175348273347607,-4.892956059742664
TCGA.C8.A3M7,8.091936920708031,9.120224294742675,0.439696315495905,-2.414004179695215,8.394796556565513
