,RNAseq_PC1,RNAseq_PC2,RNAseq_PC3,RNAseq_PC4,RNAseq_PC5
TCGA.AQ.A1H2,18.559096283940207,-17.246469488303013,-0.45404974383877283,1.9849570379250343,-11.017190540904263
TCGA.AQ.A1H3,8.04571282463843,14.0580038307882,0.8502562791136214,-1.5401173714377545,2.8952111189989234
TCGA.AQ.A54N,-30.719733758642704,-20.64289309458311,-26.116959451271413,3.1764301492772327,-21.081365110853767
TCGA.AQ.A54O,16.54967353108635,-6.58757077017784,-6.872990838453913,12.325356045963106,-15.232890343651894
TCGA.AR.A1AI,-37.88000111846729,-13.136634600381715,3.564669775085145,6.273767178346441,-2.2730292832632304
TCGA.AR.A1AJ,-35.60076421854327,8.921901876745407,6.216086939950572,10.286467334100454,2.199127801437537
TCGA.AR.A1AM,3.807015736884251,20.729210196673982,-6.952657869016744,-4.190027282545661,-3.3109747248016435
TCGA.AR.A1AN,8.974436259691137,6.515358833605457,3.137903305402771,-1.849669036287532,1.791435712668078
TCGA.AR.A1AP,3.6110900001525983,4.128466106634227,1.526417605217305,-3.8644017921359395,-1.5818087115358883
TCGA.AR.A1AQ,-39.2556148200832,-4.873128000273207,2.125120277129567,6.552005394080123,1.30488359926165
TCGA.AR.A1AR,-28.08628199428409,-3.223687237924823,5.840008581519804,4.4723174926393385,8.750434874715554
TCGA.AR.A1AS,12.025127615615176,-19.549267669037377,-0.6946426656709137,-17.33836876735889,-13.843216143232025
TCGA.AR.A1AU,3.568832699345686,12.948167714461434,-12.329601552084664,1.2086193936178942,9.404641157380027
TCGA.AR.A1AV,21.65698768872327,-14.732708370311185,3.33396835940878,-7.982035500456205,0.8708628919161934
TCGA.AR.A1AW,-7.327752272444167,9.57909751079403,17.296973206415426,18.823423093934558,2.2527329352707444
TCGA.AR.A1AX,-3.9540908900499363,17.977156111712194,9.643910277503082,4.487641966132764,3.0082476400260916
TCGA.AR.A1AY,-31.45100609241189,-11.692265153780745,-14.255914134275503,-8.646940498453112,10.328956534135106
TCGA.AR.A24K,15.699023973737116,-19.249921224631304,0.4996871661000421,-9.866401945278046,-1.2235645560601318
TCGA.AR.A24L,13.253721736613448,-3.3467290682858466,-6.124608947575513,-1.517346103801839,19.330982401286867
TCGA.AR.A24M,10.770419011548237,2.098873139630823,-4.925207279376445,-20.040336878956595,6.382342950900407
TCGA.AR.A24N,11.023239458536759,-6.489530470632643,7.848168620157933,-6.663011190485847,-5.602020377728349
TCGA.AR.A24O,2.5848651171511365,22.215811768373108,-2.0313435447618304,-6.158817399344209,8.62918094503986
TCGA.AR.A24P,7.1785083427547365,4.071121964632596,-1.2094423264581373,-10.412932927176529,6.058328687651467
