,Concatenated_PC1,Concatenated_PC2,Concatenated_PC3,Concatenated_PC4,Concatenated_PC5
TCGA.BH.A1EX,-1.7573163680774604,-2.267412809028892,-8.17307849774186,-19.16805859829867,-19.256798403846613
TCGA.BH.A1EY,-2.9741582615680073,5.046592203530545,8.125435000702486,-10.046154885194909,-6.815151184280892
TCGA.BH.A1F0,53.32656389121522,10.826854322632311,2.2368968869622425,-13.253715378712217,11.351035695819068
TCGA.BH.A1F2,-12.475667410702748,-9.460841812529127,1.1665149569212425,-19.500892887875214,-14.661951329266529
TCGA.BH.A1F5,-29.13712468764907,-3.8871770948561952,-16.918367792735232,-2.159858846836836,2.256776474065161
TCGA.BH.A1F6,50.67152899066669,-11.983536324062596,17.171144679514544,13.415692393163388,-0.016034129656323698
TCGA.BH.A1F8,-19.68899949391735,-23.336799949129922,0.38239066842360464,-14.32580360932177,-2.56432925537298
TCGA.BH.A1FB,20.951963233476892,32.741627293914526,-1.869895832815188,-0.8287640656429454,1.732299740920233
TCGA.BH.A1FC,48.55192626314325,-26.50422588665902,22.031078731747098,11.053380090221331,6.252323585115648
TCGA.BH.A1FE,11.231690242278555,14.81013249388961,10.047683621516375,-13.425260980489513,0.5860694376911422
TCGA.BH.A1FG,-24.370031167198995,3.009179920820833,-11.784311782585736,10.250402634339876,3.3267836755344895
TCGA.BH.A1FH,15.585256963481395,31.157573102141598,-7.371525663907593,10.110597620041162,-0.3918790108346413
TCGA.BH.A1FJ,-41.33968167648351,-16.734707238683885,-2.4092828710897107,5.367374057756363,-7.355684687987245
TCGA.BH.A1FL,-31.056068869836754,2.504013148130365,-3.576532836041326,1.3060555244191143,-13.772032026450805
TCGA.BH.A1FM,-22.795701376319474,-28.693138238431448,-14.470324416371364,-12.273152336441424,-2.093914171546227
TCGA.BH.A1FN,4.1525113269339595,-13.269662112319384,-24.57508224860809,2.3333325250746753,-5.958825440549819
TCGA.BH.A1FR,-6.66609421670721,6.1672507163837444,-16.65465194693128,11.629652521242447,31.168789226132265
TCGA.BH.A201,1.6391696154137785,14.754260681992076,-13.17276432452006,9.662485230286435,-9.049464844246163
TCGA.BH.A202,9.86146436406882,-5.900687652965889,12.36334369573489,0.8316285181934837,-14.062078638861317
TCGA.BH.A203,11.547466861359933,-1.2592816216177234,22.7862699891756,-0.06984412343969362,-9.658989603336266
TCGA.BH.A204,-46.099932531946806,-35.61128481354233,8.923187345381281,-3.4553200828317356,24.166318001393147
TCGA.BH.A209,22.383650776644167,1.8594944988049003,23.97851081887336,-7.840639664512586,13.186284981791504
TCGA.BH.A28Q,-24.923767782530952,12.131036152042867,5.075875170476841,12.103238929004908,-8.634207760982735
TCGA.BH.A42T,-22.060814537613503,-1.2960805491675385,20.046958151129576,12.780699761157411,-2.9729235501162092
TCGA.BH.A42V,2.504328407314923,26.38911977559061,8.321741286791282,8.257435985967124,3.0968372915303064
TCGA.C8.A1HE,-30.522177727341578,8.730904671615585,2.1236304064011557,16.114392747817114,-12.352611138835291
TCGA.C8.A1HF,7.462567848689206,-12.019974746751139,7.387105781075402,-7.314986056840652,-5.669692445043021
TCGA.C8.A1HG,4.859139032507493,-13.719145492359395,-7.193272311786425,-16.948075235560868,27.749041742240692
TCGA.C8.A1HI,-3.3250246146589633,9.331619431623118,-5.22094233403727,10.408319212903864,0.9838856308904056
TCGA.C8.A1HJ,59.51486602876961,-22.888201721694156,-13.477314291122958,6.144081023493832,4.657179847387679
TCGA.C8.A1HK,-5.303894192431873,-24.577513804105486,-8.989518662891907,-20.75168803917425,-6.631552406490492
TCGA.C8.A1HL,-26.41183124456323,-21.014206477928727,-12.42111761726539,-17.33714963789471,3.7374763558878814
TCGA.C8.A1HM,-4.108459457386566,-23.216389029380785,1.0601921512769152,-30.36519988447907,8.449161965737616
TCGA.C8.A1HN,-21.514798264787846,-27.44021203338902,-3.931712130365854,-3.228168636226399,8.388351292053635
TCGA.C8.A1HO,-36.09961084942614,-21.608105502491412,24.31897022476964,12.533358676417262,26.26135025441343
TCGA.C8.A26V,-19.060164735997432,-13.281860604252946,8.513871141742877,2.303170859870951,-13.968020104944905
TCGA.C8.A26W,-1.314933478605952,8.542355012360318,-17.60583037427708,-18.868074080485837,3.0964248967700407
TCGA.C8.A26X,18.449412254214558,-2.2986247820449606,19.375668297520207,-18.7392172887236,-8.3209706242704
TCGA.C8.A26Y,23.119646516373404,-9.765784453719478,4.157885985791076,-10.671518079939888,-3.656189124470053
TCGA.C8.A26Z,-30.092454721894335,-13.345104870132875,-9.079995631355509,-9.247640342028225,11.990995500004143
TCGA.C8.A273,-19.344177470132237,-7.468394597291504,8.07088178474521,4.126648911441065,9.060587922369136
TCGA.C8.A274,-31.271085774444593,-12.150871946789376,13.753981690593273,10.812249975143743,-24.00551648363381
TCGA.C8.A275,13.657618498459351,-6.8308725804769415,25.55531610213959,-12.269954527002843,-6.152098498551879
TCGA.C8.A278,15.573206117604203,-5.200610102767163,20.818512353793754,-20.587763943412856,-5.834184060068359
TCGA.C8.A27A,-21.902573141695186,-29.869647102266523,4.399765651677096,1.4874045723045453,32.341022016525265
TCGA.C8.A27B,58.28467393283781,-27.381396306771236,-6.613692037467708,1.9741062406213241,3.9382373900464747
TCGA.C8.A3M7,8.822867668708938,19.31699408387249,10.338425740803181,1.2702577766082377,-11.18309557244165
TCGA.C8.A3M8,-26.22461956393503,-7.013923763311885,23.562356205886385,11.775124905935284,6.449912714884101
TCGA.D8.A1J8,-12.433413995900885,-11.784169021419949,25.315992027819153,-7.790191370093778,-9.691338891654587
TCGA.D8.A1J9,-15.599621160174094,-12.500799080973746,15.745335535430886,-2.214580440563208,-21.161547825633956
TCGA.D8.A1JA,-7.473779096231382,-29.48766082982794,-6.448643556582208,-15.567848752263053,-19.766877782619815
TCGA.D8.A1JB,14.35289002633383,21.40163687040121,4.202823568653591,-0.1577401188621905,9.413458089645882
TCGA.D8.A1JC,-4.309870236663017,-8.952330153945141,-10.076966668311952,-20.097316047677253,4.2271639015952776
TCGA.D8.A1JD,-12.57939061176924,-6.293670181302208,-3.7135131004574995,-13.658031902733438,-3.8606892084156392
TCGA.D8.A1JE,-19.355009545819673,-1.340856437163819,-21.505988759624458,-5.481496307247864,-0.32726360359688134
TCGA.D8.A1JF,5.8559527656449095,-13.791438472876617,14.236529143516611,-25.036127417130334,-17.98075129973206
TCGA.D8.A1JG,19.478458483294,-13.66143549638982,15.756538831896757,-24.25509741538082,-9.115985642936982
TCGA.D8.A1JH,-2.418326039642156,23.419859382054277,-7.124867974471872,1.8138319851872249,1.1821985565315034
TCGA.D8.A1JI,-46.90339834434534,-16.519595588175704,-18.115909258948044,-3.512096909020391,16.969251359007096
TCGA.D8.A1JJ,-9.488177386036813,-9.781773186395736,-2.6855805222386686,-5.3985828821596815,-13.775336061896848
TCGA.D8.A1JK,22.83017756138207,-18.961775739580816,-10.810645583031576,-29.658747896888343,-11.13282369130746
TCGA.D8.A1JL,52.194904950490084,-3.6655502769369135,-4.206116738707313,3.72326268206099,3.5260565147426606
TCGA.D8.A1JN,-34.662160273321476,-15.233202172337641,6.454137077520991,-2.8341440866612504,-30.204262563196686
TCGA.D8.A1JP,-4.529525589914044,0.08051649848278415,-2.4225772490978303,1.7808056436386714,-9.908355495557101
TCGA.D8.A1JS,-38.26730087824711,-12.695109403702023,-27.50215816172554,10.661334149175477,-2.684995172766139
TCGA.D8.A1JT,-32.15041556444939,-29.745370251454727,-8.816256878694483,-8.271513011505196,5.189592178525264
TCGA.D8.A1JU,1.8649190820173787,29.77779838264221,-5.132790503703627,1.5514565134375522,-4.5171859944984485
TCGA.D8.A1X5,-21.971255056389296,-23.349488313585866,3.2925382944146753,-15.027094530194338,-0.4092829722767598
TCGA.D8.A1X6,-30.57270260432448,-22.0405929736409,-21.71651220397911,-20.039854933816706,10.467308807623997
TCGA.D8.A1X7,-19.03752660399522,-8.263801616124892,-25.906682814447095,-3.2340910463594947,2.8991416167619715
TCGA.D8.A1X8,-18.747478067408384,16.268790988317498,-1.7703952709208384,4.410456264264247,1.241517969906308
TCGA.D8.A1X9,-30.59739132060538,-18.407689777175758,14.347362205213257,-7.603605683378761,7.688257577660903
