,MOFA_RNAseq_Factor1,MOFA_RNAseq_Factor2,MOFA_RNAseq_Factor3,MOFA_RNAseq_Factor4,MOFA_RNAseq_Factor5
TCGA.AR.A24M,0.9810750551046715,0.1850245670560201,-1.3321606494321274,-2.7589928451199213,0.7795446605455091
TCGA.AR.A24N,1.1335557402300822,-1.1083837359584197,1.2580966032512353,-1.2022966799266623,-0.3864435743292943
TCGA.AR.A24O,0.5541150679617904,3.1838934706079267,-0.31257981451694916,-1.2653653098848892,1.0815202077245936
TCGA.AR.A24P,0.7014232234297424,0.5897412271695003,-0.032783051949559265,-1.5492813242853882,0.766510788114355
TCGA.AR.A24Q,-3.369309678296873,0.5861080295496295,-0.36240349923728177,0.030690430773820866,1.7790962079106414
TCGA.AR.A24R,1.1372326768826126,-0.17415744206986583,1.134861546408949,1.1240988961031777,1.193811253564502
TCGA.AR.A24S,0.10525256014279655,0.3965240733473788,1.5718826433137576,-0.7399168359981426,0.9068591562292031
TCGA.B6.A1KC,1.9107441869834587,-2.821545509430109,-1.681978366063518,2.556452452520758,3.4756214659596267
TCGA.B6.A1KF,-3.572708798203352,-2.8568870354919813,-4.540540404776952,-1.2704651906262276,-0.24608298933793005
TCGA.B6.A1KI,1.767193468207487,0.15603294424393382,-1.6276084186488178,-1.4094790374608517,-0.5988944040279641
TCGA.B6.A1KN,-0.2058400839658824,-0.2047522034408924,0.45122572970488245,-1.0377745480947926,0.14935961546037418
TCGA.B6.A2IU,1.997862415191873,0.5321480748927093,-2.093874061011639,-0.07482255807016185,-0.7023405849965296
TCGA.BH.A0AU,0.8684217535610694,0.49332616019362985,0.9150307522192078,0.21893887531922238,1.0769647718693678
TCGA.BH.A0AZ,0.5300151627074146,1.8382285042781505,-0.6047541515198663,-1.7324968314503395,0.5544022209957727
TCGA.BH.A0B5,1.1185900807282916,1.5509494933792543,0.4153583986919248,-0.8493996790889954,0.052023895918442205
TCGA.BH.A0B6,0.23013245510855554,1.5865349918868177,3.1846917283640463,1.4381578755838085,-1.0876230813160592
TCGA.BH.A0BF,-0.36379089603798276,1.206724234547142,3.0796716525056427,-0.23600914468876472,-0.03757071947487009
TCGA.BH.A0BS,1.8532836248964826,-1.263078233367226,-2.0480804597009836,-0.9700014266823992,-0.006036527597755553
TCGA.BH.A0BZ,-0.3465360697202061,-0.615880626255759,3.0238613676642525,0.3530538445869084,-0.01662485173497107
TCGA.BH.A0C3,0.5812821820274533,2.1953110213266434,0.6275906575609334,0.08141677857687245,1.2638710307173957
TCGA.BH.A0DD,1.297487196454217,-1.9703471909476793,1.3894230527431635,0.4489243926695144,0.8253934799761877
TCGA.BH.A0DG,0.007398121690364946,1.9616941602588676,0.599051828002345,-0.943621062904274,0.6581456876145564
TCGA.BH.A0DI,-0.2277947756675246,2.3125768227920362,-0.046515694403362874,-1.255488378523268,0.8041828058481976
TCGA.BH.A0DV,0.7284959241461613,3.1375801456875365,-1.3792343860994691,-1.9894644894213493,0.31377516533404193
TCGA.BH.A0E2,0.29451532856985707,0.12332074555768374,-0.07879111092809206,-0.14063089145420335,0.8501645590472108
TCGA.BH.A0H3,0.5379177818802738,2.220587272604414,-0.4602880470217751,-1.0903890727760703,1.1058766492407623
TCGA.BH.A0HA,1.0048517591691184,1.3634694950846653,0.9409821548466349,0.05094456913182781,-0.16397092956914203
TCGA.BH.A0HN,2.5392202332682263,-2.7364277062345637,-1.748264753209194,0.47816350651778766,-2.493155372289083
TCGA.BH.A1EN,-0.012312578486642224,-3.1886711112229404,0.0995218972134084,-1.4350543606323634,-0.04070489232816619
TCGA.BH.A1EO,0.5261382059285376,0.16222375715532536,1.1994533514877848,-1.7003337883119591,1.5029182526699065
TCGA.BH.A1ES,0.5966048677001351,-1.7371480675690214,-1.9522098455844916,-1.1031598272470888,1.9464708382709301
TCGA.BH.A1ET,1.8206497593051063,0.9472555061842614,0.27504759941613693,-1.0907568577135693,0.4227152304662559
TCGA.BH.A1EU,0.8339413813331645,3.4636126585599567,0.8321879911340445,0.09374047026392773,1.3643018438135597
TCGA.BH.A1EV,0.8427029328266873,-2.0045606713444943,-0.40517456227793075,-2.8174511038187187,-1.3237492467104868
TCGA.BH.A1EW,0.7434519275993785,1.2844576492857591,0.7990021902421199,0.2201437087042791,0.7189160353664302
TCGA.BH.A1EX,-0.24049504691444834,0.11672277002856016,1.5862758462751259,-2.2613898417539655,-0.6321551459580426
TCGA.BH.A1EY,0.593991209069318,0.23693487990899983,2.6597326418758582,-0.8325789856691638,-0.4451274637504475
TCGA.BH.A1F0,-3.5160895179125173,2.117649611234896,0.5415030503532637,0.47150893700933516,1.3751290723629506
TCGA.BH.A1F2,0.46086551562806266,-0.41001144132345213,-0.4631414323215098,-2.6306947407824732,0.9502484766270121
TCGA.BH.A1F5,1.7864243289243427,-1.119325955223252,-0.5849793237717372,-0.7777551817400946,0.8672574706113316
TCGA.BH.A1F6,-4.250908709411034,-0.4890024219006302,-0.6733520711414335,0.6068822263146534,0.30426862840030966
TCGA.BH.A1F8,0.6195538770729165,-2.2993338650221298,1.2769567162945181,-0.7986440118321793,1.106962666702725
TCGA.BH.A1FB,-0.21737497564326022,3.730365996229506,0.6156220254853028,-0.8819729136932024,0.9271405752342184
TCGA.BH.A1FC,-4.24328269811329,-2.344388476424561,1.7928861556175826,1.9929037553531592,0.7297274383748114
TCGA.BH.A1FE,-0.1787954214583722,2.057842991432662,2.1664688949688617,-0.8719023508013558,1.3634460489683506
TCGA.BH.A1FG,1.6759294279491708,-0.9024050222086446,-0.73423357686435,0.3415787249194501,-0.403361372872177
TCGA.BH.A1FH,0.08119664946377433,3.1736526909375553,-1.7906827885268801,-1.3518921048907224,1.723843316006718
TCGA.BH.A1FJ,1.7745061554253505,-2.50416207366756,-1.0955806437256095,-0.8633676385673982,-0.01177990494232523
TCGA.BH.A1FL,1.5628855386995713,0.6188578380521292,-0.2811275684683774,-0.1485903527696561,-0.13815571903257165
TCGA.BH.A1FM,0.5238079042750968,-3.4766624044653467,0.24466507084251343,-1.7770652725995528,1.7591503226853173
TCGA.BH.A1FN,-0.7073196373777654,-2.26244949197086,-0.0686128627565666,-1.2208415990969184,0.4438271071593548
TCGA.BH.A1FR,1.7725434584077593,0.015551118046942987,-0.8006633700610759,2.797578798249484,2.122194266707412
